0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1-Year,Total,1-Year,Total,1-Year,_â€˜,Total,,,,,,,,
Markets,in,S&P500,Forward,Returns,|,Markets,S&P500,Forward,Returns,|,Markets,S&P500,Forward,Returns
Turmoil,Close,__Return,Since,_[inTurmoil,Close,Return,Since_|inTurmoil,Close,Return,_Since,,,,
5/6/2016,1128,21%,367%,3/5/2020,3024,29%,42%,|4/23/2020,2798,52%,53%,,,
5/7/2010,1111,24%,374%,3/6/2020,2972,33%,44%,|4/24/2020,2837,50%,51%,,,
5/9/2010,nu,24%,374%,3/8/2020,2972,33%,44%,|4/27/2020,2878,48%,49%,,,
6/4/2010,1065,23%,393%,3/9/2020,2787,44%,56%,|4/28/2020,2863,50%,49%,,,
8/4/2011,1200,19%,328%,3/10/2020,2882,39%,49%,|4/29/2020,2940,45%,45%,,,
8/7/2011,1199,19%,328%,3/11/2020,2741,46%,56%,|4/30/2020,2912,46%,47%,,,
8/8/2011,1119,28%,359%,3/12/2020,2481,63%,73%,5/1/2020,2831,50%,52%,,,
8/9/2011,1173,22%,338%,3/13/2020,2711,49%,58%,5/4/2020,2843,49%,50%,,,
8/10/2011,1122,28%,358%,3/15/2020,2711,49%,58%,5/5/2020,2868,49%,49%,,,
8/11/2011,1173,22%,338%,3/16/2020,2386,69%,80%,|,5/6/2020,2848,51%,50%,,
8/12/2011,1179,22%,335%,3/17/2020,2529,58%,69%,5/7/2020,2881,48%,48%,,,
8/14/2011,1179,22%,335%,3/18/2020,2398,66%,79%,5/8/2020,2930,44%,46%,,,
8/18/2011,1141,27%,350%,3/19/2020,2409,66%,78%,|5/11/2020,2930,41%,46%,,,
9/22/2011,1130,32%,353%,3/20/2020,2305,73%,86%,5/12/2020,2870,46%,49%,,,
6/3/2012,1278,30%,294%,3/23/2020,2237,Th,91%,|5/13/2020,2820,50%,52%,,,
8/23/2015,1971,13%,139%,3/24/2020,2447,63%,75%,(5/14/2020,2853,48%,50%,,,
8/24/2015,1893,18%,149%,3/25/2020,2476,63%,73%,|5/15/2020,2864,47%,49%,,,
8/25/2015,1863,19%,152%,3/26/2020,2630,54%,63%,|5/18/2020,2954,42%,45%,,,
8/26/2015,1941,14%,142%,3/27/2020,2541,58%,69%,[5/19/2020,2923,45%,46%,,,
9/1/2015,1914,16%,146%,3/30/2020,2627,54%,63%,|5/20/2020,2972,42%,4a%,,,
1/18/2016,1880,24%,148%,3/31/2020,2585,58%,66%,[5/21/2020,2949,45%,45%,,,
2/5/2018,2649,a%,69%,4/1/2020,2471,68%,73%,|5/22/2020,2955,44%,4A%,,,
2/8/2018,2581,9%,73%,4/2/2020,2527,64%,69%,[5/25/2020,2955,44%,44%,,,
10/11/2018,2728,11%,62%,4/3/2020,2489,67%,72%,|5/26/2020,2992,43%,43%,,,
10/24/2018,2656,16%,66%,4/6/2020,2664,56%,61%,[5/27/2020,3036,41%,41%,,,
12/27/2018,2489,32%,76%,4/7/2020,2659,58%,61%,|5/28/2020,3030,41%,41%,,,
8/5/2019,2845,16%,53%,4/8/2020,2750,53%,56%,|5/29/2020,3044,40%,40%,,,
8/14/2019,2842,21%,53%,4/9/2020,2790,51%,53%,6/1/2020,3056,40%,40%,,,
2/24/2020,3226,24%,33%,4/10/2020,2790,51%,53%,6/2/2020,3081,38%,38%,,,
2/25/2020,3128,25%,37%,4/13/2020,2762,52%,55%,6/3/2020,3123,38%,37%,,,
2/26/2020,3116,25%,38%,4/14/2020,2846,49%,50%,6/4/2020,3112,38%,37%,,,
2/27/2020,2979,33%,44%,4/15/2020,2783,53%,S4A%,4147,?,?,,,,
